iter	Passed	Remaining
0	2	269
1	5	247
2	7	249
3	9	226
4	11	221
5	14	220
6	16	214
7	18	211
8	20	207
9	22	204
10	24	197
11	26	192
12	28	191
13	30	188
14	32	185
15	34	183
16	36	180
17	38	177
18	41	174
19	43	172
20	45	169
21	46	166
22	48	163
23	50	161
24	53	159
25	55	157
26	56	153
27	58	149
28	59	146
29	61	143
30	63	140
31	64	137
32	66	134
33	67	131
34	69	129
35	71	126
36	72	124
37	74	121
38	76	119
39	78	117
40	79	115
41	80	111
42	82	109
43	84	107
44	86	105
45	88	103
46	90	102
47	92	100
48	95	99
49	97	97
50	99	95
51	101	93
52	103	91
53	105	90
54	107	87
55	109	85
56	111	84
57	113	82
58	115	80
59	117	78
60	120	76
61	122	75
62	125	73
63	127	71
64	129	69
65	132	68
66	134	66
67	137	64
68	139	62
69	141	60
70	143	58
71	146	56
72	148	54
73	151	53
74	153	51
75	155	49
76	158	47
77	160	45
78	162	43
79	164	41
80	167	39
81	169	37
82	171	35
83	173	33
84	176	31
85	178	29
86	180	27
87	183	24
88	185	22
89	187	20
90	190	18
91	192	16
92	194	14
93	197	12
94	199	10
95	201	8
96	203	6
97	205	4
98	208	2
99	210	0
